address,label_spender,nametag,type,total_tx_count,lifespan_hours,tx_density,mediated_theft_count,direct_in_count,mediated_op_ratio,token_flow_ratio,sender_receiver_ratio,is_ghost,top1_gas_payer_ratio,high_value_ratio
0x9f53777c2d34b1863672b2608cd50355d59a0593,0,,EOA,2,71.97333333,0.02778807,0,0,0,0,0,0,0.5,0
0xcdec6969fae36f84cee8baba173590c03c624481,0,,CA,19,33.38666667,0.569089457,0,0,0,0,0,0,0.052631579,0
0x459a38116fa9d7f6b3f791716b597759f4ad4385,0,,EOA,8,2929.983333,0.002730391,0,4,0,1,1.666666667,0,0,0
0x216b4b4ba9f3e719726886d34a177484278bfcae,2,velora v5: token transfer proxy,CA,27,24630.01833,0.001096223,0,8,0,2.25,1.333333333,1,0,0.230769231
0x7f5046b1d490b5d77b1b825acef7e9d4d86b7fd4,0,,EOA,8,2811.576667,0.002845379,0,4,0,1,1.666666667,0,0,0
0x6b953059f1143e43f8e6f4784d016ba59fc340e6,0,,EOA,6,0.02,300,0,2,0,2,1,0,0,0
0x58ea6ba66bfe83d1c25219949bfda702fc05253d,0,,EOA,2,9.01,0.221975583,0,0,0,0,0,0,0.5,0
0x999fa8a8a71c6c68aa643eb8027e8439d3178669,1,fake_phishing987566,CA,1,0,1,0,0,0,0,0,1,0,0
0x2faa4a97dc12d9055dda98c9e012db6266327416,1,fake_phishing785519,CA,1,0,1,0,0,0,0,0,1,0,0
0xf6eaef8480b961ebf0df71376017a621eaef7bed,1,fake_phishing987413,CA,1,0,1,0,0,0,0,0,1,0,0
0xeb9ef40a38535b18e69a839eb8d77f3894c447af,0,,EOA,8,2817.176667,0.002839723,0,4,0,1,1.666666667,0,0,0
0x853a1ed0369e1e02601aa48b397f4d61550d9cb9,1,fake_phishing1334899,CA,3,7.406666667,0.405040504,0,0,0,0,0,0,1,0
0x9c2ae55fab2b724e36525bbaa34d989ac9edb6b0,1,fake_phishing637891,CA,1,0,1,0,0,0,0,0,1,0,0
0xc7e7bd8b458aedd49e8b1a1284588701921a0e9e,0,,CA,582,13112.66333,0.044384576,0,101,0,1,10,0,0.861538462,1
0xc8b40eee2f7b42474362cb13d83a36c196d035fa,0,,EOA,15,2895.71,0.005180077,0,11,0,0.363636364,3.666666667,0,0,0
0x40f3bc05593cff3fa3fe0d7845306af42174f6fb,1,fake_phishing987689,CA,1,0,1,0,0,0,0,0,1,0,0
0x0dcf6e872664bcaf70bded9150872fc978f289d9,1,fake_phishing639654,CA,1,0,1,0,0,0,0,0,1,0,0
0x5287067874b3eb92c32468c22b7387baeb7a60b9,1,fake_phishing686598,CA,1,0,1,0,0,0,0,0,1,0,0
0xcba528c0ebdfc8cb5e727ae2c5610f983513323e,1,fake_phishing681433,CA,1,0,1,0,0,0,0,0,1,0,0
0xe8a909c59be4ef2d331251328044e5b62712a70b,1,fake_phishing607973,CA,47,20.07666667,2.341026067,0,0,0,0,0,0,1,0
0x90ceb6236384bccb229a446192c4e9d9a462f654,0,,EOA,3,0.013333333,225,0,1,0,2,1,0,0,0
0x6e689de0767ba7e78f52fae8c03f8d7d4627e66e,1,fake_phishing638313,CA,1,0,1,0,0,0,0,0,1,0,0
0xd129ba89fc308cc4b4d339f7d0feb5e508686897,1,fake_phishing987744,CA,1,0,1,0,0,0,0,0,1,0,0
0x10a1a34dd5636c45f70f952aa8f4ef6a1b399048,1,fake_phishing987452,CA,1,0,1,0,0,0,0,0,1,0,0
0x93e7137ee904dbc67e4882b026c1c02cc3b08bd5,1,fake_phishing679956,CA,1,0,1,0,0,0,0,0,1,0,0
0x84e71e98906db9f585bb07873bea21cb7c4bf5b9,0,,EOA,3,2034.426667,0.001474617,1,0,1,0,0,0,0.666666667,0
0x605d3ab0b8a4576d4c006be1ac094b9208bd70bd,0,,EOA,11,1078.776667,0.010196735,9,0,1,0,0,0,0.909090909,0
0xdfec09efa0f154a76e5819c05099afff9c105eb4,1,fake_phishing989215,CA,1,0,1,0,0,0,0,0,1,0,0
0x4cc0fe3ce52a4aaf36ece86df694c919b3cd4ab1,1,fake_phishing638868,CA,1,0,1,0,0,0,0,0,1,0,0
0xe43d6ee1cef111cb2152a7805d13ad73d59e4229,1,fake_phishing995228,CA,1,0,1,0,0,0,0,0,1,0,0
0x28b689411b5a734ed396c6d5f5222ce4d55511cd,1,fake_phishing607799,CA,1,0,1,0,0,0,0,0,1,0,0
0x94b04cbb133bae07d5932f0c81646357223b3f7c,0,,EOA,2,3.466666667,0.576923077,0,0,0,0,0,0,0.5,0
0x4443021b9cbefb08abe834b8892429b5c226a746,0,,EOA,2,9.23,0.216684724,0,0,0,0,0,0,0.5,0
0xbf137c81cab12f71e9d5ce8eeb546e8f3c816365,0,,EOA,2,42.83,0.046696241,0,0,0,0,0,0,0.5,0
0xd9f06e22b6e825948f551863e5eedd683d962198,0,,EOA,18,64.50333333,0.279055346,0,8,0,0.666666667,1,0,0.923076923,1
0x0be58a9159637498dbf01d8f69d8c0f359c6963e,1,fake_phishing637883,CA,1,0,1,0,0,0,0,0,1,0,0
0x363d3b258448b0477c66df86c245a4fb154a3ce3,0,,EOA,2,19.41,0.10303967,0,0,0,0,0,0,0.5,0
0x776613d09a07c30d257439733b752b17083e1434,1,fake_phishing987914,CA,1,0,1,0,0,0,0,0,1,0,0
0xe4829577bd1affa50d86ac38f1b57b1884f7bbed,0,,EOA,2,1.066666667,1.875,0,0,0,0,0,0,0.5,0
0xca49a6f182d033473812ac74ac7285cba74f9052,0,,EOA,6,1287.223333,0.004661196,4,0,1,0,0,0,0.833333333,0
0xf8f70bfc8eb73d345b4fda60362c137074d405ab,0,,EOA,7,2583.703333,0.002709289,0,3,0,1.333333333,1.333333333,0,0,0
0x2881fa2d3d520e0daca55d0e026aa27a7e5f4e0c,0,,EOA,3,2233.04,0.00134346,1,0,1,0,0,0,0.666666667,0
0x02b49e52cd8c6b0f326f0a0915b369c40737f8e8,1,fake_phishing637591,CA,1,0,1,0,0,0,0,0,1,0,0
0xe204639e599c0c6c44540fbe00c73dc6f8068e06,0,,EOA,9,0.026666667,337.5,2,0,1,0,0,0,0.666666667,0
0xf2116ce7109479ec1e1cdc90ce0635e27319054f,0,,EOA,2,26.00333333,0.076913216,0,0,0,0,0,0,0.5,0
0x3347a2abffe6619ea52ab77ef5a29b6d97786e39,1,fake_phishing639615,CA,1,0,1,0,0,0,0,0,1,0,0
0x02663689d0766a4c25989f16f295a70c74a87613,0,,EOA,7,2379.496667,0.002941799,0,3,0,1.333333333,1.333333333,0,0,0
0x6868c40fe9b78c7a872b1389f49d8c529461e95c,1,fake_phishing987947,CA,1,0,1,0,0,0,0,0,1,0,0
0x17e95e4300df75d2ea06c3630a0e82950110b761,0,,EOA,2,3.723333333,0.537153089,0,0,0,0,0,0,0.5,0
